row_id,postcode
1313076,OX6 0YL
409520,CV6 5LX
1318712,OX9 1PS
1980436,W1T 2JJ
2111535,WV6 7AA
1319737,OX9 5DE
1317483,OX8 5UW
1983673,W1W 5BB
182573,XXX TEST
1971930,W1G 0EH
1981923,W1U 4DD
779355,HX3 7EX
1968572,W1A 6SN
1306645,OX3 0UR
776556,HX1 4ND
777800,HX2 7NH
609466,EX2 7EL
408577,CV6 1LN
1287874,OX1 3UB
396233,CV3 2HD
2108686,WV3 0DB
1972016,W1G 6AY
781856,HX6 4LP
1969944,W1C 2QA
2110344,WV4 6LR
1976944,W1M 8LB
1313022,OX6 0UL
1314075,OX6 9DW
1887649,TQ4 5YG
1307675,OX3 9US
1307651,OX3 9TJ
624458,EX7 9PQ
1306670,OX3 0XU
1287130,OX1 1DX
1983763,W1W 5PQ
1972748,W1G 9XH
391751,CV2 3EX
2100928,WV1 2UW
1970210,W1D 3EH
2113288,WV9 5BN
1879865,TQ1 3LN
599428,EX1 3JL
625445,EX8 4HR
386660,CV1 3GF
1980038,W1S 4PS
1880018,TQ1 3XD
1981483,W1U 1QP
782468,HX7 7ER
780952,HX5 9EJ
1287946,OX1 4BZ
1887669,TQ4 6AF
1983538,W1V 7RJ
386376,CV1 2JW
620726,EX4 4AS
780477,HX4 8WX
781194,HX6 1YR
407761,CV5 7LR
781216,HX6 2AU
411560,CV8 1SA
1316998,OX8 4BS
2108683,WV3 0BY
1979745,W1S 3DX
621227,EX4 6EL
1981601,W1U 2NG
1886869,TQ3 2PL
1300407,OX2 0NQ
625832,EX8 5SB
1973278,W1H 3DD
2112673,WV7 3PY
626292,EX9 7HQ
2107951,WV2 1BL
1974911,W1J 8BJ
1313178,OX6 3SE
1886819,TQ3 2JP
622165,EX5 1RD
2108745,WV3 0HG
1977360,W1N 5LT
779962,HX3 9HG
1975479,W1K 3DS
776344,HX1 3RQ
1314583,OX7 1SU
1306914,OX3 7PJ
1887971,TQ4 7GP
1981864,W1U 3RS
2109193,WV3 8EB
1888143,TQ4 7TJ
1968935,W1A 7RG
1979545,W1S 2HU
1979989,W1S 4LF
1981694,W1U 3AJ
1977177,W1N 2DQ
413175,CV9 9ST
1309940,OX4 5GR
1978618,W1R 2DH
1980033,W1S 4PL
620879,EX4 4LU
620213,EX4 2BS
1887422,TQ4 5BD
1979770,W1S 3HD
1981408,W1U 1JU
1315255,OX7 5AU
781137,HX6 1JR
1973541,W1H 5HB
1976796,W1M 7DA
1890789,TQ8 8JX
1966535,W1A 1AR
405673,CV4 0BR
1983069,W1V 3AA
780230,HX4 0EJ
1979003,W1R 7LG
1314414,OX7 1BL
408572,CV6 1LF
2101576,WV1 9EU
778219,HX2 9AZ
779413,HX3 7NA
1888318,TQ5 0EA
780110,HX3 9TR
1891627,TQ9 7DJ
1981036,W1T 6AH
781868,HX6 4ND
622416,EX5 2RU
776310,HX1 3PQ
1974959,W1J 8HD
1317166,OX8 4TS
386204,CV1 1YB
1982062,W1U 4RN
2110268,WV4 6EB
1985719,W1Y 5AF
391745,CV2 3EQ
624574,EX8 1AD
1317536,OX8 5ZB
1973038,W1H 1PQ
1880366,TQ1 4XL
1316250,OX8 1HL
392335,CV2 5FD
1982325,W1U 6FP
561997,E1W 1BD
2111837,WV6 7UF
775753,HX1 1QF
1309226,OX4 3GD
1317997,OX8 7EQ
409622,CV6 5TH
1888343,TQ5 0HB
2101235,WV1 4BS
1888634,TQ5 8NL
386485,CV1 2SX
779814,HX3 8TT
782299,HX7 6HF
777589,HX2 6QA
1887522,TQ4 5LH
1887029,TQ3 3AX
562705,E1W 9JR
1971781,W1F 9PZ
599864,EX1 9PW
2112193,WV6 8TF
622335,EX5 2LN
1301831,OX2 9WL
1967446,W1A 3RB
1318530,OX9 0BJ
779399,HX3 7LH
1313367,OX6 7FA
412589,CV9 1RG
1316413,OX8 1TU
2113407,WV9 5QD
1316537,OX8 2HT
406362,CV4 9QD
625842,EX8 5SQ
1885807,TQ2 6UT
781180,HX6 1PG
1313424,OX6 7HZ
412669,CV9 2DE
1889806,TQ7 1QN
779862,HX3 8YE
2110305,WV4 6HS
1985013,W1X 6LY
1288509,OX1 9FN
620051,EX4 1LS
1983749,W1W 5NW
613609,EX3 0JQ
782750,HX7 8RL
1967019,W1A 2NN
408518,CV6 1GP
1974001,W1H 7RE
780018,HX3 9NP
1316283,OX8 1LB
411118,CV7 9FQ
2112393,WV6 9LR
1885721,TQ2 6QG
598681,EX1 1BJ
1974718,W1J 7HS
386350,CV1 2HL
406016,CV4 8FZ
622618,EX5 3JQ
1984361,W1W 8EJ
386067,CV1 1FT
610214,EX2 9JT
1966765,W1A 1UY
412298,CV8 9AW
1984359,W1W 8EG
1891008,TQ9 5HY
1315209,OX7 4NJ
1888021,TQ4 7LD
1981389,W1U 1HG
1886894,TQ3 2QT
409291,CV6 4NW
1887486,TQ4 5HL
1317899,OX8 6YD
1313575,OX6 7TR
1979796,W1S 3LW
1315353,OX7 5GT
1885549,TQ2 6AL
1309425,OX4 3XW
1727699,** 0LB
779333,HX3 7DQ
620599,EX4 3QY
397423,CV3 6ZB
387066,CV1 4ZT
1974226,W1J 0PQ
1886761,TQ3 2DN
1972043,W1G 6DP
1976590,W1M 4AH
1984654,W1X 2HD
1287716,OX1 3DT
410282,CV6 9ER
2112691,WV7 3QX
1969171,W1A 9AQ
622072,EX5 1JH
598698,EX1 1DF
619931,EX4 1AP
1979028,W1R 7WE
1319748,OX9 5DT
391543,CV2 2PX
396429,CV3 2UZ
1309248,OX4 3JF
777405,HX2 0UH
1310167,OX4 5XB
1308892,OX4 2HT
408843,CV6 2LP
1317215,OX8 5DB
1979248,W1S 1AS
387475,CV1 9FW
778935,HX3 5RH
1317853,OX8 6UU
1984337,W1W 8DE
411965,CV8 2UP
1984828,W1X 4JR
1967898,W1A 4ZU
1890122,TQ7 2WT
1313864,OX6 8QB
1287234,OX1 1NE
412674,CV9 2DL
1316447,OX8 1YH
1976537,W1M 3HS
1974533,W1J 6EP
410963,CV7 8PP
1314719,OX7 2EY
406103,CV4 8WY
411322,CV8 1BD
1314816,OX7 2QH
1891784,TQ9 7RE
1981759,W1U 3ER
613741,EX3 0YU
1983839,W1W 6HE
1966937,W1A 2GJ
775733,HX1 1PB
408711,CV6 2BY
1316300,OX8 1LY
405891,CV4 7PS
391332,CV2 2AA
1980288,W1T 1RH
1311783,OX5 1TG
1983267,W1V 5AP
1319643,OX9 4SL
407424,CV5 6NS
1888618,TQ5 8LR
1879203,TQ1 1DU
1287803,OX1 3PR
1879438,TQ1 1XQ
1888545,TQ5 8DZ
1316378,OX8 1RY
1309724,OX4 4TE
622216,EX5 2BA
1315805,OX7 6LW
2110484,WV4 6YS
780653,HX4 9QL
775757,HX1 1QL
1311565,OX5 1DZ
406117,CV4 8YS
624145,EX7 0NE
1981613,W1U 2NX
397115,CV3 5ZJ
610352,EX2 9UT
609490,EX2 7FS
1319761,OX9 5ET
781786,HX6 4EA
624236,EX7 0WQ
397468,CV3 9BJ
409382,CV6 5BX
395881,CV3 1BG
1974786,W1J 7PN
1979018,W1R 7RG
1314498,OX7 1LH
2101296,WV1 4GL
1970079,W1D 2EN
623877,EX6 8RA
1890190,TQ7 3DP
599095,EX1 2HR
1968430,W1A 6HJ
1888347,TQ5 0HG
1967462,W1A 3RX
412607,CV9 1YA
1980423,W1T 2HQ
1975117,W1K 1DQ
781530,HX6 3DF
613700,EX3 0RR
1983796,W1W 6AG
780788,HX5 0LP
1985177,W1X 8LR
610392,EX2 9YZ
1317557,OX8 6AW
1315348,OX7 5GN
1887621,TQ4 5SP
623357,EX6 7AE
1973153,W1H 2DR
1966870,W1A 2DA
1313641,OX6 7YH
599284,EX1 2XJ
1972298,W1G 8AS
781699,HX6 3SD
409847,CV6 6JR
1975415,W1K 2TJ
1315100,OX7 4AR
1885926,TQ2 7DU
1968685,W1A 6ZD
1891387,TQ9 6JF
1983695,W1W 5DG
1978782,W1R 4DS
410529,CV7 7JL
2101107,WV1 3NG
777348,HX2 0RL
411112,CV7 9FG
1316410,OX8 1TR
409740,CV6 6DG
599843,EX1 9NU
1310413,OX4 6RB
1891948,TQ9 9DW
1969017,W1A 7WL
409924,CV6 6RE
1973086,W1H 1SB
386436,CV1 2PY
782584,HX7 8AH
778991,HX3 5XY
1312753,OX6 0AZ
391245,CV2 1SB
1301617,OX2 9FE
1984591,W1X 1RE
1982740,W1U 8EZ
622522,EX5 3AQ
1981417,W1U 1LF
1983057,W1V 2LT
1301024,OX2 7HP
625337,EX8 3YP
1312513,OX5 4HA
1315306,OX7 5EJ
1970387,W1D 4JD
625365,EX8 4AY
1316792,OX8 3LT
1973403,W1H 4JP
1316768,OX8 3JP
1890334,TQ7 3QZ
1985161,W1X 8JQ
409403,CV6 5DY
1320535,OX9 8JH
1891846,TQ9 7UG
623079,EX5 7AB
1879390,TQ1 1TG
1972992,W1H 1LA
392205,CV2 4XN
776520,HX1 4JF
1310014,OX4 5NH
407623,CV5 7BQ
1888978,TQ5 9SF
620718,EX4 4AG
625973,EX9 6BS
391457,CV2 2HH
1976714,W1M 5RP
1879295,TQ1 1NN
622651,EX5 3NF
1288528,OX1 9GL
1313872,OX6 8QN
609448,EX2 7DP
776600,HX1 4QS
613529,EX3 0BP
1319996,OX9 6DN
412225,CV8 3LX
779941,HX3 9EF
624896,EX8 2BB
622365,EX5 2PE
623205,EX6 6EJ
621579,EX4 7JS
1888683,TQ5 8RA
778624,HX3 0PP
609834,EX2 8HQ
625230,EX8 3HP
622399,EX5 2QY
1976293,W1M 0DX
1971902,W1G 0BD
609657,EX2 7WX
1315863,OX7 6QU
1974216,W1J 0PB
2109263,WV3 8LZ
1879521,TQ1 2DD
626057,EX9 6LH
1313824,OX6 8NB
1980571,W1T 3EA
1888163,TQ4 7WY
1891296,TQ9 6BL
1983277,W1V 5DS
392083,CV2 4JW
391595,CV2 2SS
1886733,TQ3 2AY
623795,EX6 8JY
1317207,OX8 5BP
406192,CV4 9DR
776968,HX1 9EE
623025,EX5 5NS
1309996,OX4 5LL
1100245,N1P 2WU
1319698,OX9 4YY
624033,EX7 0DB
1972732,W1G 9UA
1318148,OX8 7QY
1982574,W1U 7EB
1307357,OX3 8XE
1966822,W1A 1ZR
1309072,OX4 2UT
626196,EX9 6YR
1970379,W1D 4FF
1977503,W1N 7FH
1982583,W1U 7EP
625219,EX8 3ED
2113293,WV9 5BU
620334,EX4 2NR
2113161,WV8 2DS
1306968,OX3 7SE
624311,EX7 9BD
412891,CV9 3AA
395871,CV3 1AU
1879765,TQ1 3BP
1975360,W1K 2QR
622699,EX5 4BY
1311774,OX5 1SW
1306907,OX3 7PA
1312110,OX5 2SX
1977582,W1N 8ER
1887244,TQ3 3RD
1976728,W1M 6AT
1966631,W1A 1GL
1984334,W1W 8DA
1319716,OX9 5AX
408316,CV5 9NR
1890829,TQ8 8PA
386732,CV1 3NG
1975979,W1K 6JS
391344,CV2 2AR
1890208,TQ7 3EN
1890270,TQ7 3LT
1972601,W1G 9JG
1891628,TQ9 7DL
1981997,W1U 4NE
1312136,OX5 2UH
2101331,WV1 4JH
396478,CV3 2YT
1320349,OX9 7RZ
411016,CV7 8YZ
408921,CV6 3AH
625580,EX8 4SL
1318678,OX9 1LT
1880232,TQ1 4NT
1972384,W1G 8HY
2109579,WV4 4AX
1300868,OX2 6YA
1977811,W1P 1FH
621476,EX4 7AF
395964,CV3 1GN
1314000,OX6 8YF
1885620,TQ2 6FD
2109480,WV3 9QR
1313094,OX6 3HQ
1317420,OX8 5RS
1975640,W1K 4BE
775878,HX1 1ZR
562239,E1W 2PJ
623107,EX5 7BN
1975866,W1K 5PA
406499,CV4 9YA
2101631,WV1 9HP
1314514,OX7 1NR
2101334,WV1 4JN
782163,HX7 5SE
623826,EX6 8NN
1314962,OX7 3PD
781787,HX6 4EB
1978753,W1R 4AR
1985425,W1Y 1TN
1888076,TQ4 7PX
1318680,OX9 1LX
412678,CV9 2DR
1984561,W1X 1AJ
599223,EX1 2SG
2112502,WV7 3AG
1316172,OX8 1AQ
386051,CV1 1EX
410983,CV7 8RG
395954,CV3 1FZ
562486,E1W 3SD
1983430,W1V 6LB
1974575,W1J 6LY
1980100,W1T 1AD
1968359,W1A 6DW
624045,EX7 0DS
1313189,OX6 3SW
1879636,TQ1 2NZ
1967984,W1A 5FB
1975318,W1K 2NN
779592,HX3 8AT
1316217,OX8 1DY
396342,CV3 2QQ
1300706,OX2 6NJ
781277,HX6 2EY
1980104,W1T 1AH
2113027,WV8 1UL
1318411,OX8 8LP
625688,EX8 5EH
1315888,OX7 6SF
779149,HX3 6NL
1879539,TQ1 2EA
562515,E1W 3TU
1880542,TQ1 9SQ
1320698,OX9 9HB
1317089,OX8 4NS
1972636,W1G 9NZ
776730,HX1 5EL
1980661,W1T 3PR
2112748,WV7 3YZ
407975,CV5 8GL
623524,EX6 7QD
1312726,OX5 9DU
1968332,W1A 6BN
622866,EX5 4RR
396313,CV3 2PD
408807,CV6 2HT
2112363,WV6 9HX
776925,HX1 9AZ
1313221,OX6 3UZ
1319863,OX9 5QF
386063,CV1 1FP
1891391,TQ9 6JL
1969169,W1A 9AN
1971599,W1F 8WE
1308425,OX4 1DS
2112717,WV7 3WQ
1889269,TQ6 0RG
1890991,TQ9 5HB
411564,CV8 1SF
780587,HX4 9JB
1972946,W1H 1FS
2112509,WV7 3AR
621205,EX4 6DE
1885708,TQ2 6PR
1317484,OX8 5UX
1887881,TQ4 7AX
409491,CV6 5JJ
386517,CV1 2UX
1318559,OX9 0ZZ
396753,CV3 4FF
1889583,TQ6 9WA
780333,HX4 8DZ
2100416,WV1 1DD
1978561,W1R 1HA
562430,E1W 3HX
1971011,W1F 0LN
